Test Accuracy,Trial ID
92.14285612106323%,zG9lL
91.42857193946838%,ZNXAt
90.71428775787354%,kY9FC
92.14285612106323%,oVu7D
86.42857074737549%,ZuHs9
91.42857193946838%,YM5dx
89.99999761581421%,LN6Wk
92.14285612106323%,c95r5
94.9999988079071%,hovqb
82.85714387893677%,sQnmj
89.28571343421936%,qllHh
89.28571343421936%,mssW8
92.85714030265808%,mlyDk
87.85714507102966%,isINu
84.28571224212646%,H7tbj
85.71428656578064%,d8JQh
89.28571343421936%,FczVC
91.42857193946838%,VqSUu
87.85714507102966%,Rcuzt
85.00000238418579%,x2Ojd
45.71428596973419%,T8pea
95.71428298950195%,ofSzo
94.28571462631226%,JBHNV
89.99999761581421%,T5QLi
91.42857193946838%,kYaZE
89.99999761581421%,uLweS
14.28571492433548%,vwzjj
14.28571492433548%,Qhuly
21.42857164144516%,RSn69
12.142857164144516%,RZ1z8
84.28571224212646%,rmOLp
85.71428656578064%,Yst8r
29.285714030265808%,QiraN
10.000000149011612%,WWczu
85.71428656578064%,myQhD
89.28571343421936%,P94pE
83.57142806053162%,ahA5X
71.42857313156128%,buanI
27.857142686843872%,hyCqp
65.71428775787354%,qV0kZ
89.99999761581421%,gJTsf
14.28571492433548%,mnfG1
92.85714030265808%,VEqRu
74.28571581840515%,i7DZ0
80.0000011920929%,dfOqD
93.57143044471741%,mQmET
86.42857074737549%,iuvct
90.71428775787354%,wp5zk
92.14285612106323%,CabuX
87.85714507102966%,qCAS9
34.285715222358704%,D71ft
90.71428775787354%,GIeyC
87.14285492897034%,AQShU
83.57142806053162%,J3THD
92.14285612106323%,OSGm7
90.71428775787354%,hqO7R
85.71428656578064%,dPUrt
87.14285492897034%,RL0zq
90.71428775787354%,mcrpW
94.9999988079071%,kmAbC
92.14285612106323%,tx5Sa
87.85714507102966%,Jx7Cv
92.14285612106323%,BEAXW
91.42857193946838%,Mtrhi
82.85714387893677%,J6LHQ
93.57143044471741%,nDLtb
91.42857193946838%,Kali5
13.571429252624512%,DOifk
77.14285850524902%,C8al5
82.14285969734192%,u8y57
82.14285969734192%,XlKY7
85.71428656578064%,PprlH
86.42857074737549%,cDOsH
87.85714507102966%,v4eSh
85.00000238418579%,Djl88
90.71428775787354%,yAtiT
85.71428656578064%,o0SjZ
85.00000238418579%,ff9gw
93.57143044471741%,EsuCg
85.00000238418579%,oMyfK
91.42857193946838%,TARew
83.57142806053162%,HshXM
87.85714507102966%,QwdRN
85.71428656578064%,W8CQ0
87.85714507102966%,wyomP
87.14285492897034%,thPK2
85.71428656578064%,oQB60
90.71428775787354%,oZ8lC
93.57143044471741%,PatCF
82.85714387893677%,JihP0
86.42857074737549%,N7RrZ
84.28571224212646%,IhWgk
93.57143044471741%,lka9i
86.42857074737549%,PXKkZ
14.28571492433548%,dNCZ7
13.571429252624512%,oDq32
87.85714507102966%,bgEOr
14.28571492433548%,kTg8C
14.28571492433548%,LTIci
14.28571492433548%,CETBU
14.28571492433548%,tSVM1
77.14285850524902%,bznP3
87.85714507102966%,QW6I8
84.28571224212646%,JNY2B
72.85714149475098%,RU5Oc
92.14285612106323%,YS9Op
87.85714507102966%,ShO4Y
13.571429252624512%,wjG8o
81.42856955528259%,HWKUq
85.00000238418579%,RLs3K
15.000000596046448%,ilK4H
82.85714387893677%,M83Md
89.28571343421936%,OmBeG
92.14285612106323%,uIHcU
89.99999761581421%,NVhZ5
93.57143044471741%,EtGo0
91.42857193946838%,yaJjb
91.42857193946838%,ceTFw
90.71428775787354%,C1CKh
94.28571462631226%,ulbkI
90.71428775787354%,rQHmF
89.99999761581421%,lAZYx
89.99999761581421%,MgaAE
91.42857193946838%,Qdj2D
92.14285612106323%,pF7yw
80.0000011920929%,CHjUT
92.14285612106323%,xrfSI
90.71428775787354%,asdgv
80.0000011920929%,joyei
84.28571224212646%,YJ6FQ
92.14285612106323%,rOsYv
88.57142925262451%,hHtPU
86.42857074737549%,ppEOm
92.85714030265808%,fTezn
92.85714030265808%,aN0CI
89.99999761581421%,s3V0L
81.42856955528259%,DYj3f
82.85714387893677%,SIvLI
90.71428775787354%,RAAxG
91.42857193946838%,MoWbT
93.57143044471741%,jYhRL
93.57143044471741%,YSMCR
97.14285731315613%,R3xb7
93.57143044471741%,oWwuX
90.71428775787354%,wFl0Z
87.85714507102966%,kLY5G
87.85714507102966%,YAcJz
92.14285612106323%,mufWv
90.71428775787354%,SYiB3
89.28571343421936%,TElyL
91.42857193946838%,toGFK
95.71428298950195%,UMtAb
94.9999988079071%,Zut9o
92.14285612106323%,zuT00
89.28571343421936%,ADawT
72.14285731315613%,nkZhG
92.85714030265808%,DzJ0u
92.85714030265808%,zL55U
92.85714030265808%,GkIae
92.85714030265808%,MHaCF
92.14285612106323%,z8Cco
89.99999761581421%,GrGeP
85.71428656578064%,R1VZV
94.28571462631226%,URy2P
87.14285492897034%,qRsJw
94.28571462631226%,KbP6M
87.14285492897034%,EFc3w
89.99999761581421%,yCmJW
95.71428298950195%,Jfpnw
87.14285492897034%,jY5np
93.57143044471741%,CHM17
91.42857193946838%,m1Enm
91.42857193946838%,Il8GA
89.99999761581421%,QqFTc
92.85714030265808%,DVPUb
92.14285612106323%,UBBz0
89.99999761581421%,OOBtg
82.85714387893677%,lhBGo
88.57142925262451%,BsXuk
80.71428537368774%,OZvrd
14.28571492433548%,QHE7C
14.28571492433548%,zlPkB
14.28571492433548%,WDiMf
87.14285492897034%,XMnvs
84.28571224212646%,k3TYe
86.42857074737549%,I2XM8
12.142857164144516%,kpgXx
17.142857611179352%,F9msi
16.428571939468384%,hjMKI
91.42857193946838%,cRTM6
82.14285969734192%,Fotdr
79.28571701049805%,yoeSv
85.71428656578064%,SMKfB
90.71428775787354%,LYIMD
77.85714268684387%,mQRgb
83.57142806053162%,SZxYx
94.28571462631226%,gZDrm
92.14285612106323%,ZiXkp
81.42856955528259%,PgUwP
76.42857432365417%,ii6v6
86.42857074737549%,IHF4a
88.57142925262451%,Kg9mz
14.28571492433548%,TyfJr
83.57142806053162%,wWIm2
90.71428775787354%,IFCoM
92.14285612106323%,YaQYx
94.28571462631226%,T9igf
94.9999988079071%,skOJi
92.14285612106323%,vpYJU
85.71428656578064%,DRl0j
84.28571224212646%,eMKOW
89.99999761581421%,jR31s
85.00000238418579%,cPsUh
83.57142806053162%,YfS1N
92.14285612106323%,hvENy
72.14285731315613%,wld0D
92.14285612106323%,WJtDp
90.71428775787354%,HtGF6
81.42856955528259%,Geast
92.14285612106323%,kVFAR
84.28571224212646%,Ux8Jo
92.14285612106323%,g67Wm
91.42857193946838%,brvuT
87.14285492897034%,jluC5
82.14285969734192%,QZ9bO
88.57142925262451%,Q2LzA
87.14285492897034%,FVVSb
