Test Accuracy,Trial ID
77.59259343147278%,BGtSt
76.66666507720947%,X4Nbo
57.592594623565674%,JmmJ2
76.48147940635681%,ddw4G
78.88888716697693%,N4vLC
77.0370364189148%,kW7sR
79.62962985038757%,azEDY
76.85185074806213%,BdFVt
78.14815044403076%,xI6a8
78.88888716697693%,ozXmB
73.70370626449585%,hgyml
73.88888597488403%,jGoEH
77.9629647731781%,r10jt
78.14815044403076%,esri6
74.25925731658936%,CL63P
79.62962985038757%,vBUtF
71.4814841747284%,Ie83k
68.33333373069763%,E0itY
71.11111283302307%,Yku5x
75.18518567085266%,QNHMn
77.22222208976746%,lGjHZ
78.14815044403076%,kimWb
77.77777910232544%,Be0ho
80.92592358589172%,AcVWX
77.77777910232544%,I2y2b
77.77777910232544%,d5APe
71.4814841747284%,Q66ur
70.92592716217041%,pEOnR
55.55555820465088%,ICUKd
77.9629647731781%,UGy1q
78.14815044403076%,AT9jg
77.40740776062012%,qU16y
69.62962746620178%,QPLn9
76.11111402511597%,lEO9T
76.85185074806213%,OQsPU
76.29629373550415%,CDPGJ
76.85185074806213%,eNEUo
63.148146867752075%,DbhX8
78.33333611488342%,mRBuN
80.37037253379822%,EUR1u
76.48147940635681%,Ny7WX
78.33333611488342%,tIkJx
79.07407283782959%,vycsL
76.66666507720947%,adEbm
67.96296238899231%,YKUTJ
75.9259283542633%,EANEM
75.9259283542633%,AaRmy
81.11110925674438%,LRUuy
77.59259343147278%,d1W2Z
77.77777910232544%,k54dx
72.59259223937988%,QMnSW
79.62962985038757%,A1vqI
77.22222208976746%,Dy6tP
79.62962985038757%,ZsPC2
80.74073791503906%,ZNRF1
3.7037037312984467%,RYjlB
7.222222536802292%,vEtVH
79.81481552124023%,YZoJ8
3.7037037312984467%,CqIB5
24.81481432914734%,hl5I7
72.22222089767456%,Xx425
4.074073955416679%,Pe7Xn
38.148146867752075%,qGGGo
43.14814805984497%,TT99Y
67.03703999519348%,lSoAH
67.22221970558167%,xpxxW
62.77777552604675%,edk5v
68.14814805984497%,HS92T
79.62962985038757%,TkFYc
74.44444298744202%,trCgw
69.81481313705444%,tVcMt
45.74074149131775%,JHwXX
75.18518567085266%,XXpOI
60.370367765426636%,vAySf
57.777780294418335%,aDEq0
54.62962985038757%,kSWvp
17.037037014961243%,tXHGW
10.370370000600815%,RGOOw
69.07407641410828%,JKAIn
76.29629373550415%,Yfqqy
76.66666507720947%,GaRIb
58.5185170173645%,Cs5xv
76.85185074806213%,KTxnp
9.259258955717087%,HFtox
75.18518567085266%,Y3EGf
69.07407641410828%,sciXU
77.0370364189148%,c2MwD
73.88888597488403%,HG72D
8.33333358168602%,xiPW4
76.66666507720947%,ILuEt
75.9259283542633%,tlfpn
75.9259283542633%,Rfb2W
12.222222238779068%,E2qZ5
66.11111164093018%,PvoMJ
76.29629373550415%,L9DXk
77.22222208976746%,FQ7vg
76.48147940635681%,Nlrn9
76.48147940635681%,TBhnI
73.33333492279053%,s1XcB
69.9999988079071%,fs1K0
50.18518567085266%,ajwD1
72.9629635810852%,MyQ7W
75.9259283542633%,zNrx1
72.40740656852722%,J92Fj
78.5185158252716%,kkPgB
73.88888597488403%,VygPe
79.25925850868225%,h7DkO
77.59259343147278%,gsUAx
79.25925850868225%,GVwNZ
77.0370364189148%,EvukA
72.40740656852722%,BnnYh
75.37037134170532%,HVnfn
79.07407283782959%,uKb3f
68.33333373069763%,uZG5p
80.55555820465088%,Jdyuw
80.74073791503906%,D5vih
73.51852059364319%,iWL1W
67.22221970558167%,ytyTx
76.85185074806213%,y3jvy
75.9259283542633%,ft5ll
71.29629850387573%,vSEnE
77.0370364189148%,gkhsY
6.296296417713165%,dSq71
66.85185432434082%,Fa0oS
75.74074268341064%,d97eL
81.11110925674438%,HZ2kE
76.85185074806213%,QG3WN
81.4814805984497%,rjpm2
78.70370149612427%,JHT9M
77.0370364189148%,Wb5YZ
71.4814841747284%,kUefU
80.92592358589172%,TODHo
77.9629647731781%,CgT25
78.70370149612427%,Hqto8
76.11111402511597%,FOseZ
82.22222328186035%,C8vNg
72.40740656852722%,AwmBg
69.44444179534912%,XKugI
59.62963104248047%,MD1j5
74.44444298744202%,GE5Ex
76.11111402511597%,yjw3f
78.14815044403076%,DjPAC
61.29629611968994%,c9q6v
77.22222208976746%,rBkR3
74.0740716457367%,HqKD9
82.03703761100769%,e92Um
79.44444417953491%,Yx5lb
75.18518567085266%,hZr62
74.25925731658936%,tJR0v
73.14814925193787%,FBn5u
80.37037253379822%,e7MS2
77.40740776062012%,Z8Uwy
15.925925970077515%,ItBCX
78.5185158252716%,rGKks
61.666667461395264%,unVsI
82.22222328186035%,yFWVh
80.92592358589172%,IIBY2
78.33333611488342%,GsBO0
72.59259223937988%,FglXJ
81.29629492759705%,QVmXe
7.962962985038757%,zFLxE
81.11110925674438%,DwMSd
5.000000074505806%,RRL78
73.51852059364319%,qYMmp
9.074074029922485%,RGy3q
78.88888716697693%,UgHoB
17.592592537403107%,YlJ7z
75.37037134170532%,cAiDp
80.92592358589172%,ZAUdG
80.55555820465088%,BFTIW
81.4814805984497%,bmsRI
79.25925850868225%,GjPZa
12.222222238779068%,edxHJ
13.148148357868195%,Scb78
75.0%,zXBu9
80.0000011920929%,Mcx6I
73.33333492279053%,MwNRV
79.62962985038757%,cN3gV
4.814814776182175%,zW0v0
12.40740716457367%,tADnX
